9.362497925758361816e-02,8.073790371417999268e-02,3.729232703335583210e-04,1.532607432454824448e-02,8.007239699363708496e-01,9.214140474796295166e-03
1.403607726097106934e-01,9.941370040178298950e-02,3.696720232255756855e-04,3.911005333065986633e-02,6.694889068603515625e-01,5.125685781240463257e-02
9.408128261566162109e-01,9.946615435183048248e-03,2.980065532028675079e-03,1.318911108683096245e-05,3.567544370889663696e-02,1.057190727442502975e-02
2.393539845943450928e-01,1.643591076135635376e-01,2.671351190656423569e-03,2.384993433952331543e-02,5.418111681938171387e-01,2.795433998107910156e-02
1.161241810768842697e-02,1.290672272443771362e-02,2.772496372926980257e-05,2.709941007196903229e-03,9.716396331787109375e-01,1.103647868148982525e-03
1.880480200052261353e-01,1.353769898414611816e-01,6.897249259054660797e-03,3.487096726894378662e-02,6.012796163558959961e-01,3.352710232138633728e-02
1.758610829710960388e-02,1.677955314517021179e-02,7.570811430923640728e-05,6.127085071057081223e-03,9.572631716728210449e-01,2.168379956856369972e-03
1.786861419677734375e-01,1.393894255161285400e-01,8.664423599839210510e-03,3.433842584490776062e-02,6.109832525253295898e-01,2.793831005692481995e-02
8.599571883678436279e-02,7.682428508996963501e-02,3.693805483635514975e-04,1.277840510010719299e-02,8.173680305480957031e-01,6.664123851805925369e-03
1.271628886461257935e-01,9.516386687755584717e-02,3.764723951462656260e-04,3.049156256020069122e-02,7.147486805915832520e-01,3.205649554729461670e-02
2.114599011838436127e-02,8.817928433418273926e-01,9.958629496395587921e-03,2.250430360436439514e-02,6.457274407148361206e-02,2.551691613916773349e-05
1.486487239599227905e-01,1.736049950122833252e-01,4.000886809080839157e-03,1.454478129744529724e-02,6.515650749206542969e-01,7.635546382516622543e-03
2.277126163244247437e-02,1.696395687758922577e-02,4.146424907958135009e-05,5.612432491034269333e-03,9.502257108688354492e-01,4.385110456496477127e-03
1.062766984105110168e-01,1.219369694590568542e-01,7.122635841369628906e-03,1.975074224174022675e-02,7.366127371788024902e-01,8.300200104713439941e-03
1.303864119108766317e-04,8.620809530839323997e-04,5.514672491699457169e-03,9.767456650733947754e-01,8.133963681757450104e-03,8.613311685621738434e-03
